"","p-value","Adjusted p-value","Significant (in gene set)","Non-significant (in gene set)","Significant (not in gene set)","Non-significant (not in gene set)","sig_genest_in_geneset","prop_genes"
"REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT",2.67712016411563e-37,2.92073809905015e-34,40,27,605,13924,"PSMA5, PSMD4, PSMD14, TUBA4A, PSMD6, PSMD2, CCNB1, TUBB2A, HSP90AB1, PSMB1, PSMA2, PSMC2, PSMB7, TUBB4B, PSMD13, PSMA1, PSMC3, TUBA1B, TUBA1A, TUBA1C, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, HSP90AA1, CCNB2, PSMA4, PLK1, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, TUBB6, PSMF1, PSMA7, PSMD8, PSMC4",0.597014925373134
"REACTOME_REGULATION_OF_APOPTOSIS",5.00095951067664e-25,9.09341137691369e-23,28,23,617,13928,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.549019607843137
"REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G",5.00095951067664e-25,9.09341137691369e-23,28,23,617,13928,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.549019607843137
"REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS",8.0466182808462e-26,2.9262868481344e-23,29,24,616,13927,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.547169811320755
"REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING",1.6669914982502e-25,3.63737544918193e-23,29,25,616,13926,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.537037037037037
"REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY",6.80579338501347e-08,1.22729265835532e-06,8,7,637,13944,"TUBA4A, TUBB2A, TBCC, TUBB4B, TUBA1B, TUBA1A, TUBA1C, TUBB6",0.533333333333333
"REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA",2.11302054151477e-24,2.30530541079261e-22,28,25,617,13926,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.528301886792453
"REACTOME_DEGRADATION_OF_AXIN",2.11302054151477e-24,2.30530541079261e-22,28,25,617,13926,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.528301886792453
"REACTOME_DEGRADATION_OF_DVL",4.20905896333448e-24,3.53237179153686e-22,28,26,617,13925,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.518518518518518
"REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY",4.20905896333448e-24,3.53237179153686e-22,28,26,617,13925,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.518518518518518
"REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS",1.0744491895411e-25,2.93056016447336e-23,30,28,615,13923,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, DERL1, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, DERL2, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.517241379310345
"REACTOME_STABILIZATION_OF_P53",8.22327090444845e-24,6.18730245293328e-22,28,27,617,13924,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.509090909090909
"REACTOME_METABOLISM_OF_POLYAMINES",1.31359290041048e-24,1.68603512276215e-22,29,28,616,13923,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, SMS, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, NQO1, PSMB6, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.508771929824561
"REACTOME_HEDGEHOG_LIGAND_BIOGENESIS",1.31359290041048e-24,1.68603512276215e-22,29,28,616,13923,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, DERL2, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.508771929824561
"REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME",1.31359290041048e-24,1.68603512276215e-22,29,28,616,13923,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.508771929824561
"REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21",2.51974088186686e-24,2.34803493861736e-22,29,29,616,13922,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.5
"REACTOME_UBIQUINOL_BIOSYNTHESIS",0.000229363758041458,0.00271995500025251,4,4,641,13947,"COQ2, COQ3, COQ5, COQ6",0.5
"REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING",2.51974088186686e-24,2.34803493861736e-22,29,29,616,13922,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.5
"REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS",2.58262321387794e-24,2.34803493861736e-22,30,33,615,13918,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, NFKBIB, PSMC4",0.476190476190476
"REACTOME_ABC_TRANSPORTER_DISORDERS",4.66264165216003e-24,3.76810521667155e-22,30,34,615,13917,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, DERL1, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, DERL2, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.46875
"REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS",1.80988073579086e-22,1.23411242671739e-20,28,32,617,13919,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.466666666666667
"REACTOME_ORC1_REMOVAL_FROM_CHROMATIN",2.35071288377862e-24,2.34803493861736e-22,31,37,614,13914,"PSMA5, PSMD4, ORC4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, MCM7, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.455882352941176
"REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX",1.46035237692779e-23,1.06216296215214e-21,30,36,615,13915,"PSMA5, PSMD4, ORC4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, MCM7, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.454545454545455
"REACTOME_ACTIVATION_OF_APC_C_AND_APC_C:CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS",1.0616660395484e-25,2.93056016447336e-23,33,40,612,13911,"CDC20, PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, MAD2L1, CCNB1, PTTG1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PLK1, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.452054794520548
"KEGG_CITRATE_CYCLE_TCA_CYCLE",4.73484549772225e-10,1.033143287603e-08,12,15,633,13936,"SDHB, FH, MDH1, SUCLG1, PDHB, SDHA, MDH2, PDHA1, IDH3G, SUCLA2, IDH3A, IDH3B",0.444444444444444
"REACTOME_APC_C:CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C:CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1",7.04774843619772e-24,5.49220967420837e-22,31,39,614,13912,"CDC20, PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PTTG1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PLK1, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.442857142857143
"REACTOME_REGULATION_OF_RAS_BY_GAPS",1.65182929817594e-21,9.01072882154975e-20,28,36,617,13915,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.4375
"REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS",2.78314264658052e-21,1.44590887019969e-19,28,37,617,13914,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.430769230769231
"REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY",2.78314264658052e-21,1.44590887019969e-19,28,37,617,13914,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.430769230769231
"REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY",7.58982977752706e-22,4.47594826339569e-20,29,39,616,13912,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.426470588235294
"REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE",1.06892688793791e-24,1.66599890677181e-22,34,49,611,13902,"CDC20, PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, MAD2L1, CCNB1, SKP1, PTTG1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PLK1, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.409638554216867
"REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE",1.80247952038702e-07,3.12143675673371e-06,9,13,636,13938,"SDHB, FH, SUCLG1, SDHA, MDH2, IDH3G, SUCLA2, IDH3A, IDH3B",0.409090909090909
"REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6",2.01026373544698e-20,9.13832389738607e-19,28,41,617,13910,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.405797101449275
"REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS",1.72249386060772e-24,2.08804533547002e-22,34,50,611,13901,"PSMA5, PSMD4, PSMD14, EXOSC7, PSMD6, PSMD2, EXOSC9, PSMB1, PSMA2, PSMC2, PSMB7, EXOSC2, PSMD13, PSMA1, PSMC3, EXOSC8, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, ANP32A, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, ELAVL1, PSMD8, PSMC4",0.404761904761905
"REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",5.35372040708133e-21,2.59595953961144e-19,29,43,616,13908,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.402777777777778
"BIOCARTA_ETC_PATHWAY",0.000640889880652451,0.00688877694376181,4,6,641,13945,"SDHB, UQCRC1, SLC25A4, SDHA",0.4
"REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR",1.42143706448322e-21,7.95275814026254e-20,30,45,615,13906,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, NFKBIB, PSMC4",0.4
"REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA",3.21336142525353e-20,1.42197653996778e-18,28,42,617,13909,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.4
"REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS",1.09394388399083e-06,1.80832239005152e-05,8,12,637,13939,"TUBA4A, TUBB2A, ACTB, TUBB4B, TUBA1B, TUBA1A, TUBA1C, TUBB6",0.4
"REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX",5.94051924671435e-22,3.60061472120298e-20,31,48,614,13903,"HDAC1, PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4, PPP2R1A",0.392405063291139
"REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS",6.61664286731793e-06,0.000100260519003387,7,11,638,13940,"TUBA4A, TUBB2A, TUBB4B, TUBA1B, TUBA1A, TUBA1C, TUBB6",0.388888888888889
"REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY",3.25842470203434e-20,1.42197653996778e-18,29,47,616,13904,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.381578947368421
"REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",3.78024304719333e-22,2.42602656734584e-20,32,52,613,13899,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, HLA-A, HLA-C, HLA-B, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PDIA3, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.380952380952381
"REACTOME_DOWNSTREAM_TCR_SIGNALING",5.01322808044092e-20,2.10362762913886e-18,29,48,616,13903,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.376623376623377
"REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE",3.98298325811022e-05,0.000539805557092951,6,10,639,13941,"EXOSC7, EXOSC9, EXOSC2, DCPS, EXOSC8, WDR61",0.375
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",3.4122272573233e-21,1.69215451715442e-19,31,52,614,13899,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, DERL1, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, EIF2S1, PSMC1, PSMA4, PSMB6, DERL2, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.373493975903614
"REACTOME_CYCLIN_A:CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY",3.4122272573233e-21,1.69215451715442e-19,31,52,614,13899,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, CDK7, CCNH, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.373493975903614
"REACTOME_SIGNALING_BY_NOTCH4",7.65378129711125e-20,3.03646378005396e-18,29,49,616,13902,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, SKP1, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.371794871794872
"REACTOME_HEDGEHOG_ON_STATE",7.65378129711125e-20,3.03646378005396e-18,29,49,616,13902,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, KIF3A, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.371794871794872
"REACTOME_HEDGEHOG_OFF_STATE",6.86578532808498e-25,1.15239566045242e-22,37,63,608,13888,"PSMA5, PSMD4, PSMD14, TUBA4A, PSMD6, PSMD2, KIF3A, SKP1, TUBB2A, PSMB1, PSMA2, PSMC2, PSMB7, TUBB4B, PSMD13, PSMA1, PSMC3, TUBA1B, TUBA1A, TUBA1C, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, TUBB6, PSMF1, PSMA7, PSMD8, PSMC4",0.37
"REACTOME_UCH_PROTEINASES",3.49653161319828e-22,2.31194908484808e-20,33,57,612,13894,"PSMA5, PSMD4, UCHL5, PSMD14, PSMD6, RUVBL1, ACTL6A, PSMD2, PSMB1, ACTB, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, ADRM1, PSMD8, PSMC4",0.366666666666667
"REACTOME_DNA_REPLICATION_PRE_INITIATION",4.52927920981085e-20,1.93782102662888e-18,30,53,615,13898,"PSMA5, PSMD4, ORC4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, MCM7, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, UBB, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.36144578313253
"REACTOME_METABOLISM_OF_PORPHYRINS",0.00023807609559348,0.0027929141966934,5,9,640,13942,"UROD, ALAS1, BLVRA, HMBS, HMOX2",0.357142857142857
