"","id","gene_short_name","NA.","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value","significant_deg","hvg"
"1566","ENSG00000134697","GNL2","Gene Expression","OK","shape_score",-0.098009,0.0116393,-8.4205,5.22e-17,-0.137175929335651,"count",7.00524e-13,TRUE,TRUE
"1582","ENSG00000196449","YRDC","Gene Expression","OK","shape_score",-0.0780692,0.0116356,-6.7095,2.24e-11,-0.109049899892121,"count",2.893408e-07,TRUE,TRUE
"1642","ENSG00000084072","PPIE","Gene Expression","OK","shape_score",-0.0895408,0.0074858,-11.9615,2.11e-32,-0.12733752914121,"count",2.933533e-28,TRUE,TRUE
"1746","ENSG00000171960","PPIH","Gene Expression","OK","shape_score",-0.091181,0.0081112,-11.2414,7.17e-29,-0.129533773633356,"count",9.903921e-25,TRUE,TRUE
"1794","ENSG00000117395","EBNA1BP2","Gene Expression","OK","shape_score",-0.0850076,0.0042461,-20.0202,6.75e-85,-0.122194462863386,"count",9.695025e-81,TRUE,TRUE
"1810","ENSG00000117399","CDC20","Gene Expression","OK","shape_score",-0.1527177,0.0068982,-22.1388,2.56e-102,-0.217967256575403,"count",3.6928e-98,TRUE,TRUE
"1818","ENSG00000159479","MED8","Gene Expression","OK","shape_score",-0.0861906,0.0071253,-12.0965,4.36e-33,-0.12271566684419,"count",6.070864e-29,TRUE,TRUE
"1886","ENSG00000178028","DMAP1","Gene Expression","OK","shape_score",-0.0837972,0.0085424,-9.8096,1.87e-22,-0.118716104377719,"count",2.549932e-18,TRUE,TRUE
"1930","ENSG00000070785","EIF2B3","Gene Expression","OK","shape_score",-0.0917823,0.0104536,-8.7799,2.42e-18,-0.12878959976944,"count",3.26216e-14,TRUE,TRUE
"1938","ENSG00000126088","UROD","Gene Expression","OK","shape_score",-0.0760991,0.0041767,-18.22,3.28e-71,-0.109338818810631,"count",4.689088e-67,TRUE,TRUE
"1962","ENSG00000117450","PRDX1","Gene Expression","OK","shape_score",-0.092974,0.0031045,-29.9483,2.57e-177,-0.133914648592554,"count",3.73421e-173,TRUE,TRUE
"1970","ENSG00000132780","NASP","Gene Expression","OK","shape_score",-0.0710267,0.0085116,-8.3447,9.84e-17,-0.100449706208644,"count",1.3186584e-12,TRUE,TRUE
"1990","ENSG00000117461","PIK3R3","Gene Expression","OK","shape_score",0.0952833,0.018269,5.2156,1.93e-07,0.12281708373415,"count",0.002366566,TRUE,FALSE
"2114","ENSG00000117862","TXNDC12","Gene Expression","OK","shape_score",-0.0840742,0.0066398,-12.6621,4.98e-36,-0.120025085740487,"count",6.961044e-32,TRUE,TRUE
"2118","ENSG00000198841","KTI12","Gene Expression","OK","shape_score",-0.0813909,0.0114161,-7.1295,1.2e-12,-0.113591980573728,"count",1.5654e-08,TRUE,TRUE
"2170","ENSG00000162385","MAGOH","Gene Expression","OK","shape_score",-0.0927491,0.0065365,-14.1894,1.4e-44,-0.132450821169723,"count",1.97344e-40,TRUE,TRUE
"2202","ENSG00000116209","TMEM59","Gene Expression","OK","shape_score",-0.0738963,0.0043291,-17.0699,4.94e-63,-0.106126714906946,"count",7.031102e-59,TRUE,TRUE
"2322","ENSG00000088035","ALG6","Gene Expression","OK","shape_score",-0.1409512,0.0267574,-5.2677,1.46e-07,-0.174043476969725,"count",0.001795216,TRUE,FALSE
"2502","ENSG00000162613","FUBP1","Gene Expression","OK","shape_score",-0.0748945,0.0095827,-7.8156,7.01e-15,-0.105738358706411,"count",9.300167e-11,TRUE,TRUE
"2546","ENSG00000117133","RPF1","Gene Expression","OK","shape_score",-0.088051,0.0092276,-9.5422,2.41e-21,-0.124438841770886,"count",3.275913e-17,TRUE,TRUE
"2602","ENSG00000142871","CYR61","Gene Expression","OK","shape_score",-0.0834072,0.0044041,-18.9384,1.51e-76,-0.120146432363472,"count",2.163226e-72,TRUE,TRUE
"2642","ENSG00000137947","GTF2B","Gene Expression","OK","shape_score",-0.1235878,0.0123924,-9.9729,3.82e-23,-0.172104754288963,"count",5.217738e-19,TRUE,TRUE
"2754","ENSG00000067334","DNTTIP2","Gene Expression","OK","shape_score",-0.0948143,0.0094403,-10.0436,1.9e-23,-0.133873645246078,"count",2.59673e-19,TRUE,TRUE
"2986","ENSG00000143106","PSMA5","Gene Expression","OK","shape_score",-0.0857115,0.0039113,-21.914,2.1e-100,-0.12317793106367,"count",3.0282e-96,TRUE,TRUE
"3090","ENSG00000116455","WDR77","Gene Expression","OK","shape_score",-0.0831172,0.0081511,-10.1971,4.13e-24,-0.117958066139476,"count",5.65397e-20,TRUE,TRUE
"3206","ENSG00000116752","BCAS2","Gene Expression","OK","shape_score",-0.0717889,0.0071103,-10.0964,1.13e-23,-0.102200345953923,"count",1.545162e-19,TRUE,TRUE
"3242","ENSG00000116815","CD58","Gene Expression","OK","shape_score",-0.0814501,0.0097823,-8.3262,1.15e-16,-0.115025699078646,"count",1.541e-12,TRUE,TRUE
"3290","ENSG00000092621","PHGDH","Gene Expression","OK","shape_score",-0.1410511,0.00809,-17.4353,1.39e-65,-0.200899934055536,"count",1.981306e-61,TRUE,TRUE
"3378","ENSG00000265241","RBM8A","Gene Expression","OK","shape_score",-0.0753056,0.0037877,-19.8818,8.3e-84,-0.108286644164587,"count",1.192046e-79,TRUE,FALSE
"3498","ENSG00000159164","SV2A","Gene Expression","OK","shape_score",0.0811708,0.0106413,7.6279,2.99e-14,0.112785878095711,"count",3.950986e-10,TRUE,FALSE
"3502","ENSG00000143368","SF3B4","Gene Expression","OK","shape_score",-0.0944094,0.0058962,-16.0118,6.53e-56,-0.135080025044284,"count",9.269988e-52,TRUE,TRUE
"3554","ENSG00000143369","ECM1","Gene Expression","OK","shape_score",-0.0949774,0.0093482,-10.16,5.99e-24,-0.134371455403901,"count",8.196716e-20,TRUE,TRUE
"3646","ENSG00000163159","VPS72","Gene Expression","OK","shape_score",-0.0713258,0.0086935,-8.2045,3.12e-16,-0.100935953985518,"count",4.173624e-12,TRUE,TRUE
"3654","ENSG00000159352","PSMD4","Gene Expression","OK","shape_score",-0.0955397,0.0044576,-21.4329,2.32e-96,-0.13715217594682,"count",3.342424e-92,TRUE,TRUE
"3774","ENSG00000143621","ILF2","Gene Expression","OK","shape_score",-0.1294209,0.0047443,-27.2791,6.08e-150,-0.185865392589305,"count",8.81904e-146,TRUE,TRUE
"3830","ENSG00000143549","TPM3","Gene Expression","OK","shape_score",-0.083834,0.0033949,-24.6938,4.29e-125,-0.12066490195809,"count",6.205485e-121,TRUE,TRUE
"3942","ENSG00000173171","MTX1","Gene Expression","OK","shape_score",-0.0950546,0.0061078,-15.5629,5.21e-53,-0.135881943305117,"count",7.385696e-49,TRUE,TRUE
"4038","ENSG00000160789","LMNA","Gene Expression","OK","shape_score",-0.0935405,0.002803,-33.3715,1.13e-214,-0.134818850697736,"count",1.644941e-210,TRUE,TRUE
"4178","ENSG00000158710","TAGLN2","Gene Expression","OK","shape_score",-0.0734305,0.0023332,-31.4724,1.18e-193,-0.105832289587879,"count",1.71631e-189,TRUE,TRUE
"4278","ENSG00000158864","NDUFS2","Gene Expression","OK","shape_score",-0.1138288,0.0076996,-14.7838,3.82e-48,-0.161958343111367,"count",5.399188e-44,TRUE,TRUE
"4334","ENSG00000117143","UAP1","Gene Expression","OK","shape_score",-0.0762157,0.0065183,-11.6925,4.64e-31,-0.108820484607541,"count",6.436608e-27,TRUE,TRUE
"4442","ENSG00000143156","NME7","Gene Expression","OK","shape_score",-0.0788492,0.0087154,-9.0471,2.28e-19,-0.111626036842059,"count",3.08256e-15,TRUE,TRUE
"4526","ENSG00000120334","CENPL","Gene Expression","OK","shape_score",0.1008883,0.0180652,5.5847,2.5e-08,0.128702671422307,"count",0.00031205,TRUE,FALSE
"4550","ENSG00000116161","CACYBP","Gene Expression","OK","shape_score",-0.1117034,0.0042805,-26.0956,2.36e-138,-0.160520115516623,"count",3.419168e-134,TRUE,TRUE
"4642","ENSG00000143324","XPR1","Gene Expression","OK","shape_score",0.08913,0.0158467,5.6245,1.99e-08,0.117888574417723,"count",0.0002487102,TRUE,FALSE
"4786","ENSG00000116750","UCHL5","Gene Expression","OK","shape_score",-0.0711585,0.0097726,-7.2814,3.99e-13,-0.100055570414525,"count",5.228097e-09,TRUE,TRUE
"5010","ENSG00000133059","DSTYK","Gene Expression","OK","shape_score",0.0789477,0.013688,5.7677,8.67e-09,0.107149264504967,"count",0.00010890387,TRUE,FALSE
"5098","ENSG00000196352","CD55","Gene Expression","OK","shape_score",-0.0718365,0.0072415,-9.9202,6.4e-23,-0.102342396316597,"count",8.73856e-19,TRUE,TRUE
"5130","ENSG00000123689","G0S2","Gene Expression","OK","shape_score",-0.1035552,0.0070914,-14.6029,4.79e-47,-0.149247304339394,"count",6.765396e-43,TRUE,TRUE
"5206","ENSG00000065600","TMEM206","Gene Expression","OK","shape_score",-0.0943626,0.0175153,-5.3874,7.58e-08,-0.126623678631511,"count",0.0009374186,TRUE,FALSE
"5266","ENSG00000082482","KCNK2","Gene Expression","OK","shape_score",0.107895,0.0214798,5.0231,5.32e-07,0.131669837697295,"count",0.0064638,TRUE,FALSE
"5314","ENSG00000136628","EPRS","Gene Expression","OK","shape_score",-0.0727601,0.008263,-8.8055,1.93e-18,-0.103076454048973,"count",2.602798e-14,TRUE,TRUE
"5398","ENSG00000143753","DEGS1","Gene Expression","OK","shape_score",-0.0855056,0.0076728,-11.144,2.08e-28,-0.121597302234418,"count",2.870816e-24,TRUE,TRUE
"5438","ENSG00000143819","EPHX1","Gene Expression","OK","shape_score",-0.0802356,0.0112465,-7.1343,1.16e-12,-0.112439928476488,"count",1.513336e-08,TRUE,FALSE
"5450","ENSG00000143811","PYCR2","Gene Expression","OK","shape_score",-0.0769593,0.007971,-9.6549,8.27e-22,-0.109269906738307,"count",1.125547e-17,TRUE,TRUE
"5514","ENSG00000143761","ARF1","Gene Expression","OK","shape_score",-0.0708154,0.0032519,-21.7765,3.05e-99,-0.10193342522933,"count",4.397185e-95,TRUE,TRUE
"5590","ENSG00000173409","ARV1","Gene Expression","OK","shape_score",-0.0977743,0.0113848,-8.5881,1.27e-17,-0.136673438153835,"count",1.708277e-13,TRUE,TRUE
"5770","ENSG00000091483","FH","Gene Expression","OK","shape_score",-0.120965,0.0095463,-12.6714,4.44e-36,-0.170946138492132,"count",6.206676e-32,TRUE,TRUE
"5830","ENSG00000185420","SMYD3","Gene Expression","OK","shape_score",-0.0720756,0.0119335,-6.0398,1.69e-09,-0.100328572376601,"count",2.14123e-05,TRUE,TRUE
"5834","ENSG00000162851","TFB2M","Gene Expression","OK","shape_score",-0.1114083,0.0151582,-7.3497,2.41e-13,-0.152040732952494,"count",3.163125e-09,TRUE,TRUE
"5842","ENSG00000143653","SCCPDH","Gene Expression","OK","shape_score",-0.0859093,0.0069471,-12.3662,1.78e-34,-0.122434648518041,"count",2.484168e-30,TRUE,TRUE
"5990","ENSG00000134308","YWHAQ","Gene Expression","OK","shape_score",-0.0721132,0.0024621,-29.2895,2.08e-170,-0.103897599878147,"count",3.020784e-166,TRUE,TRUE
"5998","ENSG00000115750","TAF1B","Gene Expression","OK","shape_score",-0.0738845,0.0149384,-4.9459,7.9e-07,-0.100641480711829,"count",0.00956137,TRUE,TRUE
"6058","ENSG00000143870","PDIA6","Gene Expression","OK","shape_score",-0.0879448,0.0036359,-24.1881,1.93e-120,-0.126497452640466,"count",2.790394e-116,TRUE,TRUE
"6130","ENSG00000183891","TTC32","Gene Expression","OK","shape_score",-0.0728489,0.0137039,-5.3159,1.12e-07,-0.100252109146042,"count",0.001380288,TRUE,FALSE
"6146","ENSG00000068697","LAPTM4A","Gene Expression","OK","shape_score",-0.1165752,0.0041094,-28.3681,6.55e-161,-0.167579548448899,"count",9.50929e-157,TRUE,TRUE
"6366","ENSG00000115211","EIF2B4","Gene Expression","OK","shape_score",-0.1064732,0.0119456,-8.9131,7.51e-19,-0.148479101208549,"count",1.0136998e-14,TRUE,FALSE
"6382","ENSG00000115216","NRBP1","Gene Expression","OK","shape_score",-0.0853659,0.0071114,-12.0041,1.29e-32,-0.121562896604461,"count",1.794519e-28,TRUE,TRUE
"6414","ENSG00000198522","GPN1","Gene Expression","OK","shape_score",-0.0858818,0.0089924,-9.5505,2.22e-21,-0.121387930198497,"count",3.017868e-17,TRUE,TRUE
"6470","ENSG00000163811","WDR43","Gene Expression","OK","shape_score",-0.0898755,0.0105164,-8.5463,1.81e-17,-0.126301999078441,"count",2.433183e-13,TRUE,TRUE
"6566","ENSG00000171055","FEZ2","Gene Expression","OK","shape_score",-0.076784,0.0065739,-11.6802,5.34e-31,-0.109633489881405,"count",7.40658e-27,TRUE,TRUE
"6638","ENSG00000115875","SRSF7","Gene Expression","OK","shape_score",-0.0726374,0.0038537,-18.8488,7.16e-76,-0.104494445890549,"count",1.0254552e-71,TRUE,TRUE
"6710","ENSG00000138036","DYNC2LI1","Gene Expression","OK","shape_score",-0.0813375,0.0147615,-5.5101,3.82e-08,-0.11074745922538,"count",0.0004753226,TRUE,TRUE
"6806","ENSG00000143933","CALM2","Gene Expression","OK","shape_score",-0.0728193,0.0020151,-36.1371,1.85e-246,-0.105013518095383,"count",2.69582e-242,TRUE,TRUE
"6922","ENSG00000028116","VRK2","Gene Expression","OK","shape_score",-0.0953079,0.0163603,-5.8255,6.16e-09,-0.129754766359923,"count",7.754208e-05,TRUE,TRUE
"6982","ENSG00000115484","CCT4","Gene Expression","OK","shape_score",-0.0940582,0.0047935,-19.6221,8.83e-82,-0.135006945692118,"count",1.2674582e-77,TRUE,TRUE
"7018","ENSG00000014641","MDH1","Gene Expression","OK","shape_score",-0.1110768,0.0043155,-25.7389,6.26e-135,-0.159644263229128,"count",9.065106e-131,TRUE,TRUE
"7094","ENSG00000197223","C1D","Gene Expression","OK","shape_score",-0.0735822,0.0067246,-10.9422,1.83e-27,-0.10490655523086,"count",2.522289e-23,TRUE,TRUE
"7102","ENSG00000115946","PNO1","Gene Expression","OK","shape_score",-0.0931715,0.0099628,-9.352,1.42e-20,-0.131228294891845,"count",1.926798e-16,TRUE,TRUE
"7222","ENSG00000124357","NAGK","Gene Expression","OK","shape_score",-0.0842035,0.0080296,-10.4867,2.18e-25,-0.119575230709311,"count",2.992704e-21,TRUE,TRUE
"7234","ENSG00000124383","MPHOSPH10","Gene Expression","OK","shape_score",-0.0774009,0.0132723,-5.8318,5.94e-09,-0.107013280566273,"count",7.480242e-05,TRUE,TRUE
"7278","ENSG00000135624","CCT7","Gene Expression","OK","shape_score",-0.1127958,0.0048615,-23.2017,1.44e-111,-0.161914352618619,"count",2.079792e-107,TRUE,TRUE
"7342","ENSG00000114993","RTKN","Gene Expression","OK","shape_score",-0.076345,0.0133646,-5.7125,1.2e-08,-0.105260778737575,"count",0.000150432,TRUE,FALSE
"7438","ENSG00000115364","MRPL19","Gene Expression","OK","shape_score",-0.0780546,0.0068175,-11.4491,7.2e-30,-0.111245272420489,"count",9.9648e-26,TRUE,TRUE
"7450","ENSG00000163541","SUCLG1","Gene Expression","OK","shape_score",-0.0744658,0.0060495,-12.3094,3.52e-34,-0.106396997231202,"count",4.910048e-30,TRUE,TRUE
"7642","ENSG00000144021","CIAO1","Gene Expression","OK","shape_score",-0.0785536,0.0079728,-9.8527,1.23e-22,-0.111574623595463,"count",1.678089e-18,TRUE,TRUE
"7738","ENSG00000115446","UNC50","Gene Expression","OK","shape_score",-0.1140005,0.0082243,-13.8614,1.13e-42,-0.161751580838827,"count",1.589684e-38,TRUE,TRUE
"7778","ENSG00000115514","TXNDC9","Gene Expression","OK","shape_score",-0.0888055,0.0061066,-14.5426,1.11e-46,-0.12687821319369,"count",1.567431e-42,TRUE,TRUE
"7802","ENSG00000115539","PDCL3","Gene Expression","OK","shape_score",-0.1261406,0.0090396,-13.9542,3.3e-43,-0.178564257955898,"count",4.64376e-39,TRUE,TRUE
"7846","ENSG00000135972","MRPS9","Gene Expression","OK","shape_score",-0.1242926,0.0101129,-12.2905,4.41e-34,-0.174774530526135,"count",6.149745e-30,TRUE,TRUE
"7930","ENSG00000169679","BUB1","Gene Expression","OK","shape_score",-0.0942404,0.0137123,-6.8727,7.32e-12,-0.124758113948874,"count",9.493308e-08,TRUE,FALSE
"8090","ENSG00000144120","TMEM177","Gene Expression","OK","shape_score",-0.0863095,0.0138277,-6.2418,4.8e-10,-0.118533533234447,"count",6.11328e-06,TRUE,FALSE
"8102","ENSG00000226479","TMEM185B","Gene Expression","OK","shape_score",-0.0871789,0.0129875,-6.7125,2.19e-11,-0.120634097957168,"count",2.82948e-07,TRUE,FALSE
"8126","ENSG00000155438","NIFK","Gene Expression","OK","shape_score",-0.0777655,0.0067552,-11.5119,3.57e-30,-0.110925844947923,"count",4.943379e-26,TRUE,TRUE
"8270","ENSG00000152127","MGAT5","Gene Expression","OK","shape_score",0.093422,0.0163219,5.7237,1.12e-08,0.12344845008722,"count",0.0001404704,TRUE,FALSE
"8346","ENSG00000115947","ORC4","Gene Expression","OK","shape_score",-0.0843445,0.0127548,-6.6128,4.29e-11,-0.116991559979865,"count",5.533242e-07,TRUE,TRUE
"8362","ENSG00000168288","MMADHC","Gene Expression","OK","shape_score",-0.071943,0.0044462,-16.1809,5.05e-57,-0.1032653213653,"count",7.17403e-53,TRUE,TRUE
"8502","ENSG00000115233","PSMD14","Gene Expression","OK","shape_score",-0.1217604,0.0051927,-23.4484,9.23e-114,-0.174586056991349,"count",1.3334581e-109,TRUE,TRUE
"8606","ENSG00000138385","SSB","Gene Expression","OK","shape_score",-0.0909636,0.0047877,-18.9993,5.25e-77,-0.130531188851943,"count",7.5222e-73,TRUE,TRUE
"8654","ENSG00000128708","HAT1","Gene Expression","OK","shape_score",-0.0821104,0.0107008,-7.6733,2.11e-14,-0.115124547821693,"count",2.790475e-10,TRUE,TRUE
"8798","ENSG00000079150","FKBP7","Gene Expression","OK","shape_score",-0.0837478,0.0127416,-6.5728,5.6e-11,-0.116167701649805,"count",7.21056e-07,TRUE,FALSE
"8890","ENSG00000138448","ITGAV","Gene Expression","OK","shape_score",0.0711546,0.0078444,9.0707,1.84e-19,0.100663798084706,"count",2.488784e-15,TRUE,FALSE
"8978","ENSG00000115419","GLS","Gene Expression","OK","shape_score",0.0765577,0.0093681,8.1722,4.07e-16,0.107289324955416,"count",5.440369e-12,TRUE,FALSE
"9054","ENSG00000144381","HSPD1","Gene Expression","OK","shape_score",-0.0921821,0.0039801,-23.1608,3.32e-111,-0.132602195404047,"count",4.794412e-107,TRUE,TRUE
"9062","ENSG00000115540","MOB4","Gene Expression","OK","shape_score",-0.0896939,0.0084169,-10.6564,3.76e-26,-0.127155234181733,"count",5.167744e-22,TRUE,TRUE
"9090","ENSG00000162972","MAIP1","Gene Expression","OK","shape_score",-0.082182,0.0104771,-7.8439,5.61e-15,-0.115288792704399,"count",7.447275e-11,TRUE,TRUE
"9122","ENSG00000196290","NIF3L1","Gene Expression","OK","shape_score",-0.0861229,0.0145563,-5.9165,3.57e-09,-0.117921624936963,"count",4.509981e-05,TRUE,TRUE
"9194","ENSG00000055044","NOP58","Gene Expression","OK","shape_score",-0.0983336,0.0091234,-10.7782,1.05e-26,-0.139103611669048,"count",1.445115e-22,TRUE,TRUE
"9278","ENSG00000118246","FASTKD2","Gene Expression","OK","shape_score",-0.079451,0.015991,-4.9685,7.04e-07,-0.10786347630237,"count",0.00852896,TRUE,TRUE
"9378","ENSG00000138363","ATIC","Gene Expression","OK","shape_score",-0.0882754,0.0080671,-10.9426,1.82e-27,-0.125229074621263,"count",2.508688e-23,TRUE,TRUE
"9402","ENSG00000079246","XRCC5","Gene Expression","OK","shape_score",-0.0907966,0.0044786,-20.2733,6.63e-87,-0.130383679965249,"count",9.526647e-83,TRUE,TRUE
"9406","ENSG00000260804","LINC01963","Gene Expression","OK","shape_score",0.1178076,0.0203435,5.7909,7.56e-09,0.147926052491847,"count",9.505944e-05,TRUE,FALSE
"9442","ENSG00000127837","AAMP","Gene Expression","OK","shape_score",-0.0873971,0.0055198,-15.8334,9.49e-55,-0.12513282136429,"count",1.3462514e-50,TRUE,TRUE
"9486","ENSG00000074582","BCS1L","Gene Expression","OK","shape_score",-0.0816592,0.0108939,-7.4959,8.13e-14,-0.114327494650928,"count",1.0708836e-09,TRUE,TRUE
"9490","ENSG00000163481","RNF25","Gene Expression","OK","shape_score",-0.0759406,0.0128882,-5.8922,4.14e-09,-0.105174860397878,"count",5.225922e-05,TRUE,FALSE
"9538","ENSG00000127824","TUBA4A","Gene Expression","OK","shape_score",-0.0863576,0.0092691,-9.3167,1.97e-20,-0.121995414837092,"count",2.671517e-16,TRUE,TRUE
"9606","ENSG00000116120","FARSB","Gene Expression","OK","shape_score",-0.1083093,0.0090149,-12.0145,1.14e-32,-0.153295168753808,"count",1.586196e-28,TRUE,TRUE
"9730","ENSG00000115053","NCL","Gene Expression","OK","shape_score",-0.087773,0.0047858,-18.3404,4.29e-72,-0.126044392053873,"count",6.1347e-68,TRUE,TRUE
"9782","ENSG00000123485","HJURP","Gene Expression","OK","shape_score",0.105263,0.0111454,9.4445,6.01e-21,0.135279062554873,"count",8.162181e-17,TRUE,FALSE
"9922","ENSG00000115685","PPP1R7","Gene Expression","OK","shape_score",-0.0886878,0.0047332,-18.7373,4.91e-75,-0.127250456014883,"count",7.030138e-71,TRUE,TRUE
"9958","ENSG00000168393","DTYMK","Gene Expression","OK","shape_score",-0.0741125,0.003906,-18.9742,8.13e-77,-0.106628709107736,"count",1.1647851e-72,TRUE,TRUE
"10058","ENSG00000134072","CAMK1","Gene Expression","OK","shape_score",-0.0756069,0.0072599,-10.4144,4.58e-25,-0.107648571428976,"count",6.283302e-21,TRUE,TRUE
"10106","ENSG00000125037","EMC3","Gene Expression","OK","shape_score",-0.1049063,0.0065365,-16.0494,3.71e-56,-0.149727764977368,"count",5.267829e-52,TRUE,TRUE
"10146","ENSG00000157020","SEC13","Gene Expression","OK","shape_score",-0.0814798,0.0046972,-17.3466,5.85e-65,-0.116884028877778,"count",8.33391e-61,TRUE,TRUE
"10286","ENSG00000131373","HACL1","Gene Expression","OK","shape_score",-0.0992022,0.0170249,-5.8269,6.11e-09,-0.133408613163277,"count",7.691879e-05,TRUE,FALSE
"10454","ENSG00000144635","DYNC1LI1","Gene Expression","OK","shape_score",-0.0824902,0.0107235,-7.6925,1.82e-14,-0.115629306995332,"count",2.408042e-10,TRUE,TRUE
"10534","ENSG00000144677","CTDSPL","Gene Expression","OK","shape_score",0.0848576,0.0118467,7.163,9.41e-13,0.11663485987857,"count",1.2287578e-08,TRUE,FALSE
"10746","ENSG00000075914","EXOSC7","Gene Expression","OK","shape_score",-0.105584,0.0074972,-14.0831,5.86e-44,-0.150322576105258,"count",8.252638e-40,TRUE,TRUE
"10750","ENSG00000249992","TMEM158","Gene Expression","OK","shape_score",0.0719211,0.0074674,9.6314,1.03e-21,0.102343125208967,"count",1.401418e-17,TRUE,FALSE
"10898","ENSG00000010256","UQCRC1","Gene Expression","OK","shape_score",-0.1093921,0.003589,-30.4796,5.9e-183,-0.15738345269254,"count",8.57683e-179,TRUE,TRUE
"11178","ENSG00000114767","RRP9","Gene Expression","OK","shape_score",-0.1295917,0.009999,-12.9605,1.24e-37,-0.182703347755582,"count",1.736744e-33,TRUE,TRUE
"11218","ENSG00000023330","ALAS1","Gene Expression","OK","shape_score",-0.0746714,0.011702,-6.3811,1.97e-10,-0.104144524121424,"count",2.520615e-06,TRUE,TRUE
"11222","ENSG00000247596","TWF2","Gene Expression","OK","shape_score",-0.0977591,0.0063055,-15.5038,1.24e-52,-0.139592551338942,"count",1.757328e-48,TRUE,TRUE
"11274","ENSG00000163938","GNL3","Gene Expression","OK","shape_score",-0.0840759,0.0070136,-11.9875,1.56e-32,-0.119862852796416,"count",2.16918e-28,TRUE,TRUE
"11298","ENSG00000163933","RFT1","Gene Expression","OK","shape_score",-0.0845314,0.0125192,-6.7522,1.68e-11,-0.117208957988385,"count",2.171736e-07,TRUE,FALSE
